ok,error,solar_mw,wind_mw,bess_power_mw,bess_duration_h,bess_energy_mwh,gas_mw,firmness_pct,total_served_mwh,unserved_mwh,total_natgas_mwh,co2_tons,merchant_revenue_usd,total_op_cost_usd_horizon,cost_unserved_usd,cost_gas_var_usd,cost_gas_no_load_usd,cost_gas_startup_usd,cost_bess_deg_usd,cost_carbon_usd,annualized_solar_usd,annualized_wind_usd,annualized_bess_power_usd,annualized_bess_energy_usd,annualized_gas_usd,fixed_om_total_usd_yr,annualized_total_usd_yr,opex_usd_yr,total_annual_cost_usd,lcoe_usd_per_mwh,horizon_hours
True,,20.0,0.0,10.0,2.0,20.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,329383.87,439178.5,0.0,400000.0,2780290.44,490451219.99,493231510.43,10544.59,744.0
True,,20.0,0.0,10.0,2.0,20.0,10.0,38.19,9470.54,15329.4579,7440.0,2960.748,0.0,30660775.79,30658915.79,0.0,0.0,0.0,1860.0,0.0,1611728.07,0.0,329383.87,439178.5,686484.14,600000.0,3666774.58,361005908.5,364672683.08,3270.37,744.0
True,,20.0,0.0,10.0,2.0,20.0,25.0,68.19,16910.54,7889.4579,18600.0,7401.87,0.0,15780775.78,15778915.78,0.0,0.0,0.0,1860.0,0.0,1611728.07,0.0,329383.87,439178.5,1716210.34,900000.0,4996500.79,185805908.38,190802409.17,958.29,744.0
True,,20.0,0.0,10.0,4.0,40.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,329383.87,878357.0,0.0,400000.0,3219468.94,490451219.99,493670688.93,10553.97,744.0
True,,20.0,0.0,10.0,4.0,40.0,10.0,40.69,10090.54,14709.4579,7440.0,2960.748,0.0,29422635.79,29418915.79,0.0,0.0,0.0,3720.0,0.0,1611728.07,0.0,329383.87,878357.0,686484.14,600000.0,4105953.08,346427808.5,350533761.58,2950.42,744.0
True,,20.0,0.0,10.0,4.0,40.0,25.0,70.69,17530.54,7269.4579,18600.0,7401.87,0.0,14542635.79,14538915.79,0.0,0.0,0.0,3720.0,0.0,1611728.07,0.0,329383.87,878357.0,1716210.34,900000.0,5435679.29,171227808.5,176663487.79,855.89,744.0
True,,20.0,0.0,20.0,2.0,40.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,658767.75,878357.0,0.0,500000.0,3648852.82,490451219.99,494100072.81,10563.15,744.0
True,,20.0,0.0,20.0,2.0,40.0,10.0,40.69,10090.54,14709.4579,7440.0,2960.748,0.0,29422635.79,29418915.79,0.0,0.0,0.0,3720.0,0.0,1611728.07,0.0,658767.75,878357.0,686484.14,700000.0,4535336.95,346427808.5,350963145.45,2954.04,744.0
True,,20.0,0.0,20.0,2.0,40.0,25.0,70.69,17530.54,7269.4579,18600.0,7401.87,0.0,14542635.78,14538915.78,0.0,0.0,0.0,3720.0,0.0,1611728.07,0.0,658767.75,878357.0,1716210.34,1000000.0,5865063.16,171227808.38,177092871.54,857.97,744.0
True,,20.0,0.0,20.0,4.0,80.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,658767.75,1756714.0,0.0,500000.0,4527209.81,490451219.99,494978429.8,10581.93,744.0
True,,20.0,0.0,20.0,4.0,80.0,10.0,44.58,11056.94,13743.0573,7440.0,2960.748,0.0,27492733.76,27486114.56,0.0,0.0,0.0,6619.2,0.0,1611728.07,0.0,658767.75,1756714.0,686484.14,700000.0,5413693.95,323704768.46,329118462.41,2528.05,744.0
True,,20.0,0.0,20.0,4.0,80.0,25.0,75.69,18770.54,6029.4579,18600.0,7401.87,0.0,12066355.77,12058915.77,0.0,0.0,0.0,7440.0,0.0,1611728.07,0.0,658767.75,1756714.0,1716210.34,1000000.0,6743420.16,142071608.26,148815028.42,673.35,744.0
True,,20.0,0.0,40.0,2.0,80.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,1317535.5,1756714.0,0.0,700000.0,5385977.56,490451219.99,495837197.55,10600.29,744.0
True,,20.0,0.0,40.0,2.0,80.0,10.0,44.58,11056.94,13743.0573,7440.0,2960.748,0.0,27492733.75,27486114.55,0.0,0.0,0.0,6619.2,0.0,1611728.07,0.0,1317535.5,1756714.0,686484.14,900000.0,6272461.7,323704768.35,329977230.05,2534.65,744.0
True,,20.0,0.0,40.0,2.0,80.0,25.0,75.69,18770.54,6029.4579,18600.0,7401.87,0.0,12066355.77,12058915.77,0.0,0.0,0.0,7440.0,0.0,1611728.07,0.0,1317535.5,1756714.0,1716210.34,1200000.0,7602187.91,142071608.26,149673796.17,677.23,744.0
True,,20.0,0.0,40.0,4.0,160.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,1317535.5,3513427.99,0.0,700000.0,7142691.56,490451219.99,497593911.55,10637.85,744.0
True,,20.0,0.0,40.0,4.0,160.0,10.0,44.58,11056.94,13743.0573,7440.0,2960.748,0.0,27492733.75,27486114.55,0.0,0.0,0.0,6619.2,0.0,1611728.07,0.0,1317535.5,3513427.99,686484.14,900000.0,8029175.69,323704768.35,331733944.04,2548.14,744.0
True,,20.0,0.0,40.0,4.0,160.0,25.0,85.67,21246.0,3553.9989,18600.0,7401.87,0.0,7122864.08,7107997.7,0.0,0.0,0.0,14866.38,0.0,1611728.07,0.0,1317535.5,3513427.99,1716210.34,1200000.0,9358901.9,83865980.3,93224882.2,372.67,744.0
True,,50.0,0.0,10.0,2.0,20.0,0.0,39.78,9865.03,14934.9706,0.0,0.0,0.0,29870357.31,29869941.29,0.0,0.0,0.0,416.02,0.0,4029320.18,0.0,329383.87,439178.5,0.0,850000.0,5647882.55,351699368.33,357347250.88,3076.53,744.0
True,,50.0,0.0,10.0,2.0,20.0,10.0,58.25,14446.28,10353.7204,7360.0,2928.912,0.0,20709795.85,20707440.84,0.0,0.0,0.0,2355.01,0.0,4029320.18,0.0,329383.87,439178.5,686484.14,1050000.0,6534366.69,243841144.69,250375511.38,1471.99,744.0
True,,50.0,0.0,10.0,2.0,20.0,25.0,79.41,19694.69,5105.3145,18400.0,7322.28,0.0,10213257.97,10210629.06,0.0,0.0,0.0,2628.91,0.0,4029320.18,0.0,329383.87,439178.5,1716210.34,1350000.0,7864092.89,120252876.1,128116968.99,552.49,744.0
True,,50.0,0.0,10.0,4.0,40.0,0.0,39.78,9865.03,14934.9706,0.0,0.0,0.0,29870357.31,29869941.29,0.0,0.0,0.0,416.02,0.0,4029320.18,0.0,329383.87,878357.0,0.0,850000.0,6087061.05,351699368.33,357786429.38,3080.31,744.0
True,,50.0,0.0,10.0,4.0,40.0,10.0,60.9,15104.26,9695.7371,7360.0,2928.912,0.0,19395803.1,19391474.14,0.0,0.0,0.0,4328.96,0.0,4029320.18,0.0,329383.87,878357.0,686484.14,1050000.0,6973545.19,228369939.73,235343484.92,1323.34,744.0
True,,50.0,0.0,10.0,4.0,40.0,25.0,82.14,20370.96,4429.0433,18400.0,7322.28,0.0,8862744.35,8858086.63,0.0,0.0,0.0,4657.72,0.0,4029320.18,0.0,329383.87,878357.0,1716210.34,1350000.0,8303271.39,104351667.35,112654938.74,469.69,744.0
True,,50.0,0.0,20.0,2.0,40.0,0.0,40.02,9923.95,14876.052,0.0,0.0,0.0,29752696.79,29752104.01,0.0,0.0,0.0,592.78,0.0,4029320.18,0.0,658767.75,878357.0,0.0,950000.0,6516444.92,350314010.59,356830455.51,3053.84,744.0
True,,50.0,0.0,20.0,2.0,40.0,10.0,61.06,15142.46,9657.5446,7400.0,2944.83,0.0,19319532.67,19315089.13,0.0,0.0,0.0,4443.54,0.0,4029320.18,0.0,658767.75,878357.0,686484.14,1150000.0,7402929.06,227471916.92,234874845.98,1317.37,744.0
True,,50.0,0.0,20.0,2.0,40.0,25.0,82.56,20473.99,4326.0098,18500.0,7362.075,0.0,8656986.52,8652019.7,0.0,0.0,0.0,4966.82,0.0,4029320.18,0.0,658767.75,878357.0,1716210.34,1450000.0,8732655.27,101929034.83,110661690.1,459.05,744.0
True,,50.0,0.0,20.0,4.0,80.0,0.0,40.02,9923.95,14876.052,0.0,0.0,0.0,29752696.79,29752104.01,0.0,0.0,0.0,592.78,0.0,4029320.18,0.0,658767.75,1756714.0,0.0,950000.0,7394801.92,350314010.59,357708812.51,3061.36,744.0
True,,50.0,0.0,20.0,4.0,80.0,10.0,65.45,16231.84,8568.1599,7400.0,2944.83,0.0,17144031.54,17136319.85,0.0,0.0,0.0,7711.69,0.0,4029320.18,0.0,658767.75,1756714.0,686484.14,1150000.0,8281286.06,201857145.55,210138431.61,1099.53,744.0
True,,50.0,0.0,20.0,4.0,80.0,25.0,87.79,21772.03,3027.9739,18500.0,7362.075,0.0,6064808.65,6055947.72,0.0,0.0,0.0,8860.93,0.0,4029320.18,0.0,658767.75,1756714.0,1716210.34,1450000.0,9611012.26,71408230.88,81019243.14,316.05,744.0
True,,50.0,0.0,40.0,2.0,80.0,0.0,40.05,9931.86,14868.1432,0.0,0.0,0.0,29736902.85,29736286.35,0.0,0.0,0.0,616.5,0.0,4029320.18,0.0,1317535.5,1756714.0,0.0,1150000.0,8253569.67,350128049.69,358381619.36,3064.67,744.0
True,,50.0,0.0,40.0,2.0,80.0,10.0,65.48,16239.15,8560.8477,7440.0,2960.748,0.0,17129429.03,17121695.41,0.0,0.0,0.0,7733.63,0.0,4029320.18,0.0,1317535.5,1756714.0,686484.14,1350000.0,9140053.8,201685212.77,210825266.57,1102.63,744.0
True,,50.0,0.0,40.0,2.0,80.0,25.0,87.82,21780.47,3019.5305,18600.0,7401.87,0.0,6047947.22,6039060.96,0.0,0.0,0.0,8886.26,0.0,4029320.18,0.0,1317535.5,1756714.0,1716210.34,1650000.0,10469780.01,71209701.14,81679481.15,318.5,744.0
True,,50.0,0.0,40.0,4.0,160.0,0.0,40.05,9931.86,14868.1432,0.0,0.0,0.0,29736902.85,29736286.35,0.0,0.0,0.0,616.5,0.0,4029320.18,0.0,1317535.5,3513427.99,0.0,1150000.0,10010283.66,350128049.69,360138333.35,3079.69,744.0
True,,50.0,0.0,40.0,4.0,160.0,10.0,67.93,16847.28,7952.7197,7440.0,2960.748,0.0,15914997.45,15905439.44,0.0,0.0,0.0,9558.01,0.0,4029320.18,0.0,1317535.5,3513427.99,686484.14,1350000.0,10896767.8,187386260.3,198283028.1,999.6,744.0
True,,50.0,0.0,40.0,4.0,160.0,25.0,95.07,23578.01,1221.9864,18600.0,7401.87,0.0,2458251.63,2443972.74,0.0,0.0,0.0,14278.9,0.0,4029320.18,0.0,1317535.5,3513427.99,1716210.34,1650000.0,12226494.01,28943930.48,41170424.49,148.3,744.0
True,,80.0,0.0,10.0,2.0,20.0,0.0,50.28,12470.29,12329.7112,0.0,0.0,0.0,24661025.51,24659422.45,0.0,0.0,0.0,1603.05,0.0,6446912.28,0.0,329383.87,439178.5,0.0,1300000.0,8515474.65,290363687.46,298879162.11,2035.58,744.0
True,,80.0,0.0,10.0,2.0,20.0,10.0,64.99,16117.03,8682.9709,5990.0,2383.721,0.0,17368604.65,17365941.79,0.0,0.0,0.0,2662.85,0.0,6446912.28,0.0,329383.87,439178.5,686484.14,1500000.0,9401958.79,204501312.81,213903271.6,1127.2,744.0
True,,80.0,0.0,10.0,2.0,20.0,25.0,83.39,20679.92,4120.0765,14975.0,5959.301,0.0,8242841.46,8240153.05,0.0,0.0,0.0,2688.41,0.0,6446912.28,0.0,329383.87,439178.5,1716210.34,1800000.0,10731685.0,97052810.74,107784495.74,442.67,744.0
True,,80.0,0.0,10.0,4.0,40.0,0.0,51.49,12768.35,12031.6545,0.0,0.0,0.0,24065806.25,24063309.03,0.0,0.0,0.0,2497.22,0.0,6446912.28,0.0,329383.87,878357.0,0.0,1300000.0,8954653.15,283355460.69,292310113.84,1944.37,744.0
True,,80.0,0.0,10.0,4.0,40.0,10.0,67.76,16804.16,7995.8396,5990.0,2383.721,0.0,15996403.46,15991679.21,0.0,0.0,0.0,4724.25,0.0,6446912.28,0.0,329383.87,878357.0,686484.14,1500000.0,9841137.29,188344750.42,198185887.71,1001.67,744.0
True,,80.0,0.0,10.0,4.0,40.0,25.0,86.0,21328.61,3471.3947,14975.0,5959.301,0.0,6947423.83,6942789.38,0.0,0.0,0.0,4634.45,0.0,6446912.28,0.0,329383.87,878357.0,1716210.34,1800000.0,11170863.5,81800312.84,92971176.34,370.22,744.0
True,,80.0,0.0,20.0,2.0,40.0,0.0,51.79,12844.67,11955.3293,0.0,0.0,0.0,23913384.71,23910658.51,0.0,0.0,0.0,2726.2,0.0,6446912.28,0.0,658767.75,878357.0,0.0,1400000.0,9384037.03,281560819.97,290944857.0,1923.79,744.0
True,,80.0,0.0,20.0,2.0,40.0,10.0,68.41,16966.02,7833.9787,6280.0,2499.126,0.0,15673167.2,15667957.37,0.0,0.0,0.0,5209.83,0.0,6446912.28,0.0,658767.75,878357.0,686484.14,1600000.0,10270521.16,184538904.13,194809425.29,975.21,744.0
True,,80.0,0.0,20.0,2.0,40.0,25.0,86.35,21413.59,3386.413,15700.0,6247.815,0.0,6777715.35,6772825.95,0.0,0.0,0.0,4889.4,0.0,6446912.28,0.0,658767.75,878357.0,1716210.34,1900000.0,11600247.37,79802132.35,91402379.72,362.52,744.0
True,,80.0,0.0,20.0,4.0,80.0,0.0,54.1,13416.96,11383.0432,0.0,0.0,0.0,22770529.38,22766086.32,0.0,0.0,0.0,4443.06,0.0,6446912.28,0.0,658767.75,1756714.0,0.0,1400000.0,10262394.02,268104620.12,278367014.14,1762.11,744.0
True,,80.0,0.0,20.0,4.0,80.0,10.0,73.42,18208.41,6591.5938,6280.0,2499.126,0.0,13192124.49,13183187.5,0.0,0.0,0.0,8936.99,0.0,6446912.28,0.0,658767.75,1756714.0,686484.14,1600000.0,11148878.16,155326627.06,166475505.22,776.51,744.0
True,,80.0,0.0,20.0,4.0,80.0,25.0,91.39,22663.51,2136.4877,15700.0,6247.815,0.0,4281614.54,4272975.37,0.0,0.0,0.0,8639.17,0.0,6446912.28,0.0,658767.75,1756714.0,1716210.34,1900000.0,12478604.37,50412558.29,62891162.66,235.68,744.0
True,,80.0,0.0,40.0,2.0,80.0,0.0,54.16,13432.1,11367.904,0.0,0.0,0.0,22740296.5,22735808.03,0.0,0.0,0.0,4488.47,0.0,6446912.28,0.0,1317535.5,1756714.0,0.0,1600000.0,11121161.77,267748652.34,278869814.11,1763.3,744.0
True,,80.0,0.0,40.0,2.0,80.0,10.0,73.89,18324.81,6475.1938,7440.0,2960.748,0.0,12959673.82,12950387.64,0.0,0.0,0.0,9286.19,0.0,6446912.28,0.0,1317535.5,1756714.0,686484.14,1800000.0,12007645.91,152589707.88,164597353.79,762.87,744.0
True,,80.0,0.0,40.0,2.0,80.0,25.0,91.39,22663.51,2136.4877,18600.0,7401.87,0.0,4281614.54,4272975.37,0.0,0.0,0.0,8639.17,0.0,6446912.28,0.0,1317535.5,1756714.0,1716210.34,2100000.0,13337372.12,50412558.29,63749930.41,238.9,744.0
True,,80.0,0.0,40.0,4.0,160.0,0.0,58.33,14464.71,10335.29,0.0,0.0,0.0,20678166.25,20670579.93,0.0,0.0,0.0,7586.32,0.0,6446912.28,0.0,1317535.5,3513427.99,0.0,1600000.0,12877875.77,243468731.65,256346607.42,1505.17,744.0
True,,80.0,0.0,40.0,4.0,160.0,10.0,78.89,19564.1,5235.9005,7440.0,2960.748,0.0,10484805.15,10471801.08,0.0,0.0,0.0,13004.07,0.0,6446912.28,0.0,1317535.5,3513427.99,686484.14,1800000.0,13764359.91,123450125.15,137214485.06,595.67,744.0
True,,80.0,0.0,40.0,4.0,160.0,25.0,97.76,24244.76,555.2358,18600.0,7401.87,0.0,1123854.57,1110471.64,0.0,0.0,0.0,13382.93,0.0,6446912.28,0.0,1317535.5,3513427.99,1716210.34,2100000.0,15094086.11,13232481.23,28326567.34,99.23,744.0
